data_przyjazdu	data_wyjazdu	energia	woda	typ
2014-01-26	2014-02-20	5,23	0,14	6
2014-01-27	2014-02-12	6,43	0,17	4
2014-01-27	2014-01-29	11,44	0,30	5
2014-01-27	2014-02-03	8,72	0,23	5
2014-01-27	2014-02-15	10,20	0,27	4
2014-01-27	2014-01-29	10,20	0,27	2
2014-01-28	2014-02-23	4,66	0,12	3
2014-01-28	2014-02-05	11,69	0,31	6
2014-01-28	2014-02-03	6,88	0,18	3
2014-02-02	2014-02-13	9,74	0,26	2
2014-02-02	2014-02-11	9,06	0,24	2
2014-02-02	2014-02-24	14,00	0,37	2
2014-02-03	2014-02-27	10,59	0,28	3
2014-02-03	2014-02-06	3,94	0,10	6
2014-02-03	2014-02-20	4,66	0,12	3
2014-02-03	2014-03-03	10,20	0,27	6
2014-02-07	2014-02-12	12,23	0,32	5
2014-02-07	2014-02-28	10,19	0,27	3
2014-02-07	2014-03-03	12,01	0,32	6
2014-02-07	2014-02-11	11,44	0,30	3
2014-02-07	2014-03-02	6,23	0,16	3
2014-02-07	2014-02-16	12,01	0,32	5
2014-02-07	2014-02-11	12,23	0,32	5
2014-02-07	2014-02-25	12,01	0,32	5
2014-02-07	2014-02-22	5,67	0,15	4
2014-02-07	2014-03-04	6,88	0,18	5
2014-02-07	2014-03-07	2,72	0,07	6
2014-02-07	2014-02-16	9,74	0,26	6
2014-02-07	2014-02-21	7,31	0,19	3
2014-02-07	2014-03-06	8,84	0,23	6
2014-02-07	2014-02-20	13,07	0,34	2
2014-02-07	2014-02-20	11,42	0,30	6
2014-02-07	2014-03-06	3,79	0,10	3
2014-02-07	2014-02-12	11,42	0,30	6
2014-02-07	2014-02-10	8,83	0,23	4
2014-02-07	2014-02-20	8,51	0,22	5
2014-02-07	2014-02-24	7,30	0,19	5
2014-02-10	2014-02-22	5,67	0,15	4
2014-02-10	2014-02-20	6,58	0,17	3
2014-02-10	2014-03-01	4,25	0,11	3
2014-02-12	2014-02-24	6,58	0,17	6
2014-02-14	2014-03-06	5,78	0,15	2
2014-02-14	2014-02-23	10,20	0,27	5
2014-02-14	2014-02-22	2,72	0,07	6
2014-02-14	2014-03-09	11,44	0,30	6
2014-02-14	2014-03-14	13,07	0,34	6
2014-02-14	2014-03-14	7,35	0,19	4
2014-02-15	2014-03-14	6,88	0,18	3
2014-02-15	2014-03-10	9,06	0,24	2
2014-02-19	2014-03-10	16,55	0,44	2
2014-02-19	2014-03-10	8,83	0,23	3
2014-02-19	2014-02-26	7,31	0,19	2
2014-02-19	2014-03-17	14,31	0,38	5
2014-02-19	2014-02-21	11,42	0,30	5
2014-02-19	2014-03-02	8,54	0,22	3
2014-02-19	2014-03-19	5,57	0,15	4
2014-02-19	2014-03-19	7,55	0,20	4
2014-02-19	2014-03-09	10,79	0,28	6
2014-02-19	2014-03-08	8,39	0,22	2
2014-02-19	2014-03-13	9,06	0,24	6
2014-02-19	2014-03-02	16,94	0,45	3
2014-02-19	2014-03-10	11,37	0,30	4
2014-02-19	2014-03-01	4,25	0,11	5
2014-02-19	2014-03-12	11,42	0,30	4
2014-02-19	2014-03-13	3,79	0,10	3
2014-02-19	2014-03-14	10,59	0,28	4
2014-02-19	2014-03-07	8,95	0,24	2
2014-02-19	2014-02-23	4,66	0,12	5
2014-02-19	2014-03-09	6,88	0,18	5
2014-02-22	2014-03-08	8,72	0,23	4
2014-02-26	2014-02-28	12,23	0,32	2
2014-02-26	2014-03-10	10,20	0,27	4
2014-02-26	2014-03-05	7,06	0,19	5
2014-02-26	2014-03-18	5,64	0,15	6
2014-02-26	2014-03-23	9,06	0,24	4
2014-02-26	2014-03-19	6,23	0,16	2
2014-02-28	2014-03-23	3,57	0,09	4
2014-03-03	2014-03-16	8,89	0,23	3
2014-03-03	2014-03-28	6,34	0,17	5
2014-03-03	2014-03-19	11,69	0,31	6
2014-03-03	2014-03-14	3,79	0,10	4
2014-03-03	2014-03-28	9,13	0,24	2
2014-03-03	2014-03-24	5,78	0,15	6
2014-03-03	2014-03-21	7,06	0,19	6
2014-03-03	2014-03-14	7,31	0,19	4
2014-03-03	2014-03-13	8,95	0,24	4
2014-03-03	2014-03-21	2,01	0,05	5
2014-03-03	2014-03-07	19,54	0,51	3
2014-03-03	2014-03-20	13,02	0,34	5
2014-03-03	2014-03-22	11,69	0,31	6
2014-03-03	2014-03-31	13,02	0,34	2
2014-03-03	2014-03-15	3,57	0,09	3
2014-03-03	2014-03-10	7,06	0,19	3
2014-03-06	2014-03-19	6,34	0,17	3
2014-03-06	2014-03-20	2,72	0,07	2
2014-03-07	2014-03-12	3,73	0,10	5
2014-03-09	2014-03-21	10,59	0,28	6
2014-03-10	2014-04-04	3,73	0,10	5
2014-03-10	2014-03-22	5,78	0,15	2
2014-03-10	2014-03-22	10,79	0,28	2
2014-03-10	2014-03-28	5,47	0,14	4
2014-03-10	2014-03-22	5,57	0,15	2
2014-03-11	2014-04-07	4,66	0,12	5
2014-03-11	2014-04-02	8,95	0,24	4
2014-03-12	2014-03-21	3,94	0,10	3
2014-03-15	2014-03-26	5,78	0,15	6
2014-03-15	2014-04-06	13,81	0,36	2
2014-03-15	2014-04-10	5,23	0,14	6
2014-03-15	2014-03-30	10,93	0,29	6
2014-03-15	2014-04-02	8,95	0,24	4
2014-03-15	2014-04-02	16,83	0,44	3
2014-03-15	2014-03-20	14,00	0,37	2
2014-03-15	2014-04-06	5,23	0,14	6
2014-03-15	2014-03-26	16,55	0,44	6
2014-03-15	2014-03-26	12,23	0,32	3
2014-03-15	2014-03-22	8,39	0,22	2
2014-03-15	2014-03-23	5,67	0,15	5
2014-03-15	2014-03-21	14,13	0,37	4
2014-03-15	2014-03-25	11,69	0,31	4
2014-03-15	2014-03-30	16,94	0,45	2
2014-03-15	2014-04-04	14,00	0,37	4
2014-03-17	2014-04-14	8,84	0,23	2
2014-03-17	2014-04-05	6,75	0,18	4
2014-03-17	2014-03-30	6,23	0,16	5
2014-03-17	2014-04-12	8,72	0,23	6
2014-03-18	2014-03-21	6,34	0,17	5
2014-03-18	2014-04-05	2,29	0,06	4
2014-03-18	2014-04-05	4,25	0,11	4
2014-03-21	2014-04-13	16,55	0,44	5
2014-03-21	2014-04-16	7,55	0,20	3
2014-03-21	2014-04-02	16,55	0,44	5
2014-03-21	2014-04-10	3,79	0,10	3
2014-03-21	2014-03-27	8,51	0,22	6
2014-03-21	2014-03-26	7,71	0,20	2
2014-03-27	2014-04-13	3,79	0,10	2
2014-03-27	2014-04-18	16,55	0,44	4
2014-03-27	2014-03-30	10,19	0,27	5
2014-03-27	2014-04-02	8,39	0,22	5
2014-03-27	2014-04-23	8,89	0,23	2
2014-03-27	2014-04-19	7,35	0,19	2
2014-04-02	2014-04-11	6,88	0,18	4
2014-04-02	2014-04-11	13,02	0,34	3
2014-04-02	2014-04-21	10,59	0,28	3
2014-04-02	2014-04-22	16,94	0,45	4
2014-04-02	2014-04-19	11,44	0,30	4
2014-04-02	2014-04-04	3,79	0,10	4
2014-04-03	2014-04-29	10,19	0,27	2
2014-04-08	2014-04-18	7,35	0,19	5
2014-04-08	2014-04-23	9,74	0,26	6
2014-04-08	2014-04-29	8,65	0,23	3
2014-04-08	2014-04-30	7,06	0,19	2
2014-04-08	2014-05-03	14,00	0,37	2
2014-04-08	2014-05-05	16,94	0,45	4
2014-04-14	2014-04-30	16,55	0,44	4
2014-04-14	2014-05-07	14,13	0,37	6
2014-04-14	2014-05-02	11,42	0,30	5
2014-04-14	2014-05-03	16,83	0,44	5
2014-04-14	2014-05-09	9,06	0,24	4
2014-04-14	2014-04-26	11,69	0,31	5
2014-04-18	2014-05-13	6,58	0,17	3
2014-04-20	2014-04-26	11,44	0,30	6
2014-04-20	2014-05-04	6,75	0,18	6
2014-04-23	2014-05-12	7,71	0,20	5
2014-04-23	2014-04-25	6,75	0,18	4
2014-04-24	2014-04-29	3,57	0,09	2
2014-04-26	2014-05-23	10,19	0,27	3
2014-04-26	2014-05-20	11,78	0,31	3
2014-04-26	2014-05-12	3,79	0,10	3
2014-04-26	2014-05-02	6,75	0,18	6
2014-04-26	2014-05-08	12,01	0,32	2
2014-04-26	2014-05-05	2,01	0,05	2
2014-04-28	2014-05-09	9,06	0,24	5
2014-05-02	2014-05-27	13,81	0,36	3
2014-05-02	2014-05-23	5,47	0,14	3
2014-05-02	2014-05-18	9,06	0,24	5
2014-05-05	2014-05-21	8,39	0,22	5
2014-05-05	2014-05-17	3,73	0,10	5
2014-05-06	2014-05-14	7,31	0,19	4
2014-05-08	2014-05-21	14,31	0,38	6
2014-05-08	2014-06-04	14,13	0,37	4
2014-05-08	2014-05-18	3,88	0,10	5
2014-05-08	2014-05-10	7,35	0,19	6
2014-05-08	2014-05-17	12,01	0,32	4
2014-05-08	2014-05-16	13,07	0,34	3
2014-05-14	2014-05-30	7,35	0,19	4
2014-05-14	2014-05-17	11,37	0,30	2
2014-05-14	2014-05-19	13,81	0,36	3
2014-05-14	2014-05-21	5,64	0,15	6
2014-05-14	2014-05-23	7,55	0,20	2
2014-05-14	2014-05-28	5,23	0,14	3
2014-05-14	2014-06-01	7,55	0,20	2
2014-05-20	2014-06-02	8,89	0,23	3
2014-05-20	2014-06-13	8,65	0,23	3
2014-05-20	2014-05-29	7,30	0,19	6
2014-05-20	2014-06-11	10,59	0,28	5
2014-05-20	2014-05-30	11,37	0,30	5
2014-05-20	2014-06-03	10,79	0,28	4
2014-05-26	2014-06-03	11,44	0,30	4
2014-05-26	2014-06-06	13,07	0,34	2
2014-05-26	2014-06-11	5,57	0,15	6
2014-05-26	2014-05-28	11,78	0,31	5
2014-05-26	2014-05-29	11,78	0,31	2
2014-05-26	2014-06-12	9,74	0,26	3
2014-06-01	2014-06-28	12,01	0,32	6
2014-06-01	2014-06-08	9,46	0,25	3
2014-06-01	2014-06-05	11,37	0,30	6
2014-06-01	2014-06-17	5,78	0,15	3
2014-06-01	2014-06-22	12,01	0,32	5
2014-06-01	2014-06-25	7,55	0,20	5
2014-06-01	2014-06-04	9,74	0,26	3
2014-06-02	2014-06-12	2,72	0,07	2
2014-06-02	2014-06-11	3,57	0,09	3
2014-06-02	2014-06-23	7,55	0,20	6
2014-06-02	2014-06-22	3,57	0,09	2
2014-06-03	2014-06-13	2,29	0,06	5
2014-06-03	2014-06-27	9,06	0,24	4
2014-06-04	2014-06-08	4,25	0,11	2
2014-06-04	2014-06-14	7,31	0,19	6
2014-06-04	2014-06-10	9,06	0,24	2
2014-06-05	2014-06-09	6,43	0,17	3
2014-06-07	2014-06-18	2,01	0,05	3
2014-06-07	2014-06-12	8,51	0,22	3
2014-06-07	2014-06-27	16,55	0,44	4
2014-06-07	2014-06-14	9,13	0,24	3
2014-06-07	2014-06-26	10,20	0,27	5
2014-06-09	2014-07-03	6,23	0,16	2
2014-06-13	2014-07-07	8,51	0,22	3
2014-06-13	2014-06-21	13,82	0,36	4
2014-06-13	2014-07-05	6,34	0,17	6
2014-06-13	2014-07-09	10,19	0,27	6
2014-06-13	2014-06-15	14,00	0,37	3
2014-06-13	2014-06-24	14,00	0,37	4
2014-06-13	2014-06-26	10,19	0,27	2
2014-06-13	2014-06-28	8,89	0,23	5
2014-06-13	2014-06-24	11,44	0,30	6
2014-06-13	2014-07-07	10,93	0,29	2
2014-06-13	2014-07-02	6,34	0,17	4
2014-06-13	2014-06-23	5,67	0,15	5
2014-06-13	2014-07-01	8,51	0,22	6
2014-06-13	2014-06-27	16,83	0,44	5
2014-06-13	2014-06-24	11,69	0,31	5
2014-06-16	2014-06-18	7,71	0,20	3
2014-06-16	2014-07-14	5,67	0,15	5
2014-06-19	2014-07-17	7,30	0,19	6
2014-06-19	2014-06-23	5,64	0,15	5
2014-06-19	2014-06-25	10,79	0,28	5
2014-06-19	2014-07-10	10,20	0,27	6
2014-06-19	2014-07-01	16,55	0,44	3
2014-06-19	2014-07-09	8,95	0,24	6
2014-06-25	2014-07-05	5,64	0,15	4
2014-06-25	2014-07-20	6,34	0,17	3
2014-06-25	2014-07-12	11,69	0,31	6
2014-06-25	2014-07-19	11,42	0,30	5
2014-06-25	2014-07-02	8,54	0,22	6
2014-06-25	2014-07-11	10,20	0,27	3
2014-06-25	2014-07-13	8,39	0,22	6
2014-06-25	2014-07-06	9,46	0,25	4
2014-06-25	2014-07-23	11,37	0,30	5
2014-06-25	2014-07-21	3,79	0,10	5
2014-06-25	2014-07-15	8,84	0,23	2
2014-06-25	2014-07-05	19,54	0,51	4
2014-06-25	2014-07-01	3,79	0,10	5
2014-06-25	2014-07-08	9,74	0,26	6
2014-06-25	2014-07-17	10,20	0,27	2
2014-06-25	2014-07-16	3,88	0,10	4
2014-06-28	2014-07-15	4,66	0,12	4
2014-07-01	2014-07-20	16,55	0,44	6
2014-07-01	2014-07-15	13,81	0,36	3
2014-07-01	2014-07-17	8,51	0,22	5
2014-07-01	2014-07-07	8,65	0,23	2
2014-07-01	2014-07-12	11,69	0,31	4
2014-07-01	2014-07-08	7,06	0,19	3
2014-07-07	2014-07-17	11,44	0,30	5
2014-07-07	2014-07-11	8,95	0,24	4
2014-07-07	2014-07-27	9,46	0,25	6
2014-07-07	2014-07-21	5,23	0,14	3
2014-07-07	2014-07-27	11,78	0,31	4
2014-07-07	2014-07-16	5,64	0,15	3
2014-07-07	2014-07-19	10,20	0,27	2
2014-07-07	2014-08-01	3,88	0,10	5
2014-07-07	2014-07-15	4,66	0,12	4
2014-07-07	2014-07-18	10,19	0,27	6
2014-07-07	2014-07-24	10,19	0,27	6
2014-07-07	2014-07-28	3,79	0,10	6
2014-07-07	2014-07-27	9,06	0,24	2
2014-07-07	2014-07-11	6,23	0,16	3
2014-07-07	2014-08-01	10,79	0,28	3
2014-07-10	2014-07-27	5,67	0,15	5
2014-07-11	2014-08-04	2,29	0,06	3
2014-07-13	2014-08-02	10,93	0,29	2
2014-07-13	2014-07-21	16,55	0,44	4
2014-07-14	2014-07-16	6,43	0,17	6
2014-07-15	2014-08-12	3,94	0,10	6
2014-07-15	2014-07-27	3,79	0,10	3
2014-07-15	2014-08-05	6,58	0,17	3
2014-07-17	2014-08-02	5,67	0,15	2
2014-07-19	2014-08-06	10,19	0,27	6
2014-07-19	2014-07-28	7,06	0,19	2
2014-07-19	2014-08-09	6,75	0,18	5
2014-07-19	2014-08-10	8,83	0,23	6
2014-07-19	2014-08-09	8,39	0,22	2
2014-07-19	2014-08-02	6,23	0,16	3
2014-07-19	2014-08-08	3,79	0,10	4
2014-07-19	2014-08-15	11,37	0,30	5
2014-07-19	2014-07-27	5,64	0,15	5
2014-07-19	2014-08-07	7,55	0,20	2
2014-07-19	2014-08-02	10,20	0,27	4
2014-07-19	2014-08-11	2,01	0,05	6
2014-07-19	2014-08-11	13,81	0,36	3
2014-07-21	2014-08-17	8,72	0,23	2
2014-07-21	2014-08-08	11,44	0,30	3
2014-07-21	2014-08-03	3,94	0,10	2
2014-07-25	2014-08-20	9,46	0,25	3
2014-07-25	2014-08-02	11,69	0,31	4
2014-07-25	2014-08-19	8,83	0,23	2
2014-07-25	2014-08-15	8,83	0,23	6
2014-07-25	2014-08-15	9,13	0,24	4
2014-07-25	2014-08-22	9,06	0,24	5
2014-07-31	2014-08-22	10,19	0,27	5
2014-07-31	2014-08-21	14,00	0,37	4
2014-07-31	2014-08-07	11,44	0,30	5
2014-07-31	2014-08-20	7,31	0,19	2
2014-07-31	2014-08-12	9,46	0,25	2
2014-07-31	2014-08-05	8,83	0,23	3
2014-07-31	2014-08-04	6,88	0,18	2
2014-07-31	2014-08-02	6,75	0,18	3
2014-07-31	2014-08-18	19,54	0,51	3
2014-07-31	2014-08-05	14,31	0,38	6
2014-07-31	2014-08-19	3,79	0,10	2
2014-07-31	2014-08-17	8,89	0,23	5
2014-07-31	2014-08-16	7,71	0,20	5
2014-07-31	2014-08-13	16,83	0,44	6
2014-07-31	2014-08-06	5,23	0,14	6
2014-07-31	2014-08-02	10,79	0,28	5
2014-07-31	2014-08-17	12,23	0,32	2
2014-07-31	2014-08-19	5,78	0,15	6
2014-08-06	2014-08-14	5,23	0,14	3
2014-08-06	2014-08-17	9,06	0,24	2
2014-08-06	2014-09-03	12,23	0,32	4
2014-08-06	2014-08-30	8,83	0,23	4
2014-08-06	2014-08-25	10,93	0,29	5
2014-08-09	2014-08-23	3,94	0,10	2
2014-08-12	2014-09-03	19,54	0,51	6
2014-08-12	2014-08-21	6,75	0,18	2
2014-08-12	2014-09-06	7,55	0,20	5
2014-08-12	2014-09-04	3,73	0,10	5
2014-08-12	2014-08-23	8,51	0,22	2
2014-08-12	2014-08-27	6,88	0,18	3
2014-08-12	2014-08-23	6,75	0,18	4
2014-08-12	2014-08-24	11,42	0,30	5
2014-08-12	2014-08-15	16,94	0,45	3
2014-08-12	2014-08-16	6,34	0,17	6
2014-08-12	2014-08-19	8,83	0,23	4
2014-08-12	2014-08-25	6,34	0,17	3
2014-08-12	2014-08-29	8,84	0,23	3
2014-08-12	2014-08-18	8,65	0,23	2
2014-08-12	2014-09-05	8,51	0,22	4
2014-08-12	2014-09-08	9,74	0,26	5
2014-08-12	2014-09-05	13,02	0,34	2
2014-08-14	2014-08-18	4,66	0,12	3
2014-08-18	2014-09-02	14,13	0,37	4
2014-08-18	2014-09-10	11,37	0,30	2
2014-08-18	2014-09-08	3,79	0,10	3
2014-08-18	2014-08-24	11,42	0,30	6
2014-08-18	2014-09-10	8,84	0,23	3
2014-08-18	2014-08-24	11,69	0,31	6
2014-08-24	2014-08-28	5,78	0,15	4
2014-08-24	2014-08-26	19,54	0,51	5
2014-08-24	2014-09-09	9,06	0,24	2
2014-08-24	2014-09-08	13,81	0,36	6
2014-08-24	2014-09-04	11,42	0,30	5
2014-08-24	2014-08-30	14,31	0,38	2
2014-08-24	2014-09-12	8,83	0,23	3
2014-08-24	2014-09-03	14,31	0,38	3
2014-08-24	2014-09-13	11,37	0,30	2
2014-08-24	2014-09-12	11,44	0,30	2
2014-08-24	2014-09-20	8,65	0,23	4
2014-08-25	2014-09-04	11,42	0,30	5
2014-08-25	2014-09-04	8,39	0,22	2
2014-08-25	2014-09-05	9,74	0,26	4
2014-08-25	2014-09-21	5,23	0,14	6
2014-08-25	2014-09-12	8,39	0,22	3
2014-08-26	2014-09-14	5,23	0,14	4
2014-08-27	2014-09-02	6,34	0,17	4
2014-08-30	2014-09-26	10,93	0,29	4
2014-08-30	2014-09-12	8,89	0,23	2
2014-08-30	2014-09-01	5,57	0,15	2
2014-08-30	2014-09-25	6,23	0,16	3
2014-08-30	2014-09-14	11,42	0,30	4
2014-08-30	2014-09-21	16,94	0,45	3
2014-09-03	2014-09-19	7,06	0,19	4
2014-09-04	2014-09-17	5,64	0,15	4
2014-09-04	2014-09-16	7,30	0,19	3
2014-09-04	2014-09-14	7,06	0,19	3
2014-09-04	2014-09-14	5,64	0,15	5
2014-09-04	2014-09-07	3,73	0,10	6
2014-09-04	2014-09-26	13,81	0,36	6
2014-09-04	2014-09-14	5,47	0,14	2
2014-09-04	2014-10-02	7,31	0,19	6
2014-09-04	2014-09-06	3,73	0,10	3
2014-09-04	2014-09-25	8,39	0,22	4
2014-09-04	2014-09-15	13,07	0,34	2
2014-09-04	2014-09-09	7,35	0,19	3
2014-09-04	2014-09-14	14,31	0,38	5
2014-09-04	2014-10-02	5,57	0,15	4
2014-09-04	2014-09-06	5,23	0,14	2
2014-09-04	2014-09-18	10,79	0,28	4
2014-09-04	2014-09-10	2,72	0,07	2
2014-09-05	2014-10-01	7,55	0,20	3
2014-09-05	2014-09-24	6,43	0,17	2
2014-09-05	2014-09-23	3,88	0,10	6
2014-09-05	2014-09-07	5,67	0,15	4
2014-09-05	2014-09-07	12,01	0,32	4
2014-09-05	2014-09-26	6,58	0,17	6
2014-09-05	2014-10-02	3,79	0,10	3
2014-09-05	2014-09-09	8,83	0,23	2
2014-09-05	2014-09-09	14,31	0,38	3
2014-09-05	2014-09-18	5,47	0,14	3
2014-09-05	2014-09-25	8,95	0,24	4
2014-09-05	2014-09-30	4,25	0,11	5
2014-09-05	2014-09-12	6,88	0,18	5
2014-09-05	2014-09-29	8,89	0,23	3
2014-09-07	2014-10-04	6,43	0,17	5
2014-09-08	2014-10-06	6,58	0,17	5
2014-09-08	2014-09-16	5,67	0,15	2
2014-09-08	2014-09-30	3,57	0,09	3
2014-09-08	2014-09-13	3,73	0,10	3
2014-09-11	2014-09-18	8,54	0,22	4
2014-09-11	2014-09-16	16,83	0,44	3
2014-09-11	2014-10-06	11,42	0,30	6
2014-09-11	2014-09-17	8,84	0,23	2
2014-09-11	2014-09-24	6,75	0,18	6
2014-09-11	2014-10-07	7,35	0,19	5
2014-09-15	2014-10-09	3,57	0,09	4
2014-09-15	2014-09-23	9,06	0,24	5
2014-09-16	2014-09-24	9,46	0,25	4
2014-09-16	2014-10-12	8,95	0,24	5
2014-09-16	2014-10-11	9,06	0,24	2
2014-09-16	2014-09-22	6,88	0,18	3
2014-09-16	2014-10-05	9,13	0,24	4
2014-09-16	2014-10-12	12,01	0,32	3
2014-09-16	2014-10-08	19,54	0,51	5
2014-09-16	2014-10-06	10,20	0,27	5
2014-09-16	2014-09-28	14,31	0,38	6
2014-09-16	2014-10-12	8,89	0,23	6
2014-09-16	2014-10-13	11,44	0,30	2
2014-09-16	2014-09-29	6,43	0,17	5
2014-09-16	2014-09-25	7,31	0,19	5
2014-09-16	2014-10-12	8,54	0,22	4
2014-09-16	2014-09-19	4,25	0,11	6
2014-09-16	2014-10-10	7,30	0,19	2
2014-09-16	2014-10-07	11,37	0,30	6
2014-09-16	2014-09-21	14,13	0,37	2
2014-09-16	2014-10-13	11,44	0,30	2
2014-09-17	2014-10-15	9,46	0,25	6
2014-09-17	2014-09-20	4,25	0,11	2
2014-09-17	2014-09-29	7,31	0,19	4
2014-09-17	2014-10-01	14,00	0,37	6
2014-09-17	2014-09-25	6,23	0,16	2
2014-09-17	2014-09-22	9,13	0,24	3
